id_integracion,visita,pc,a0,rnd_archivos,t,A
4,1,4,1000,0.3014,4.5,27.589
4,1,4,1000,0.3014,4.6,20.7129
4,1,4,1000,0.3014,4.7,13.87
4,1,4,1000,0.3014,4.8,7.0507
4,1,4,1000,0.3014,4.9,0.2458
4,1,4,1000,0.3014,5.0,-6.5542
5,1,5,2000,0.8203,0,2000
5,1,5,2000,0.8203,0.1,1793.2
5,1,5,2000,0.8203,0.2,1625.6217
5,1,5,2000,0.8203,0.3,1486.6894
5,1,5,2000,0.8203,0.4,1369.3771
5,1,5,2000,0.8203,0.5,1268.8174
5,1,5,2000,0.8203,0.6,1181.5226
5,1,5,2000,0.8203,0.7,1104.9228
5,1,5,2000,0.8203,0.8,1037.0801
5,1,5,2000,0.8203,0.9,976.5033
5,1,5,2000,0.8203,1.0,922.0254
5,1,5,2000,0.8203,1.1,872.7188
5,1,5,2000,0.8203,1.2,827.8369
5,1,5,2000,0.8203,1.3,786.7712
5,1,5,2000,0.8203,1.4,749.0208
5,1,5,2000,0.8203,1.5,714.1692
5,1,5,2000,0.8203,1.6,681.8673
5,1,5,2000,0.8203,1.7,651.8201
5,1,5,2000,0.8203,1.8,623.7767
5,1,5,2000,0.8203,1.9,597.5218
5,1,5,2000,0.8203,2.0,572.8702
5,1,5,2000,0.8203,2.1,549.6612
5,1,5,2000,0.8203,2.2,527.7548
5,1,5,2000,0.8203,2.3,507.0285
5,1,5,2000,0.8203,2.4,487.3746
5,1,5,2000,0.8203,2.5,468.6979
5,1,5,2000,0.8203,2.6,450.9141
5,1,5,2000,0.8203,2.7,433.9479
5,1,5,2000,0.8203,2.8,417.7323
5,1,5,2000,0.8203,2.9,402.2073
5,1,5,2000,0.8203,3.0,387.3188
5,1,5,2000,0.8203,3.1,373.018
5,1,5,2000,0.8203,3.2,359.2609
5,1,5,2000,0.8203,3.3,346.0075
5,1,5,2000,0.8203,3.4,333.2214
5,1,5,2000,0.8203,3.5,320.8696
5,1,5,2000,0.8203,3.6,308.9217
5,1,5,2000,0.8203,3.7,297.3501
5,1,5,2000,0.8203,3.8,286.1292
5,1,5,2000,0.8203,3.9,275.2357
5,1,5,2000,0.8203,4.0,264.648
5,1,5,2000,0.8203,4.1,254.3461
5,1,5,2000,0.8203,4.2,244.3115
5,1,5,2000,0.8203,4.3,234.5271
5,1,5,2000,0.8203,4.4,224.9769
5,1,5,2000,0.8203,4.5,215.6462
5,1,5,2000,0.8203,4.6,206.521
5,1,5,2000,0.8203,4.7,197.5885
5,1,5,2000,0.8203,4.8,188.8364
5,1,5,2000,0.8203,4.9,180.2535
5,1,5,2000,0.8203,5.0,171.8289
5,1,5,2000,0.8203,5.1,163.5526
5,1,5,2000,0.8203,5.2,155.4152
5,1,5,2000,0.8203,5.3,147.4075
5,1,5,2000,0.8203,5.4,139.521
5,1,5,2000,0.8203,5.5,131.7477
5,1,5,2000,0.8203,5.6,124.0798
5,1,5,2000,0.8203,5.7,116.5101
5,1,5,2000,0.8203,5.8,109.0313
5,1,5,2000,0.8203,5.9,101.6369
5,1,5,2000,0.8203,6.0,94.3204
5,1,5,2000,0.8203,6.1,87.0756
5,1,5,2000,0.8203,6.2,79.8965
5,1,5,2000,0.8203,6.3,72.7773
5,1,5,2000,0.8203,6.4,65.7125
5,1,5,2000,0.8203,6.5,58.6966
5,1,5,2000,0.8203,6.6,51.7243
5,1,5,2000,0.8203,6.7,44.7906
5,1,5,2000,0.8203,6.8,37.8903
5,1,5,2000,0.8203,6.9,31.0185
5,1,5,2000,0.8203,7.0,24.1704
5,1,5,2000,0.8203,7.1,17.3411
5,1,5,2000,0.8203,7.2,10.5261
5,1,5,2000,0.8203,7.3,3.7206
5,1,5,2000,0.8203,7.4,-3.0801
6,2,1,2000,0.9375,0,2000
6,2,1,2000,0.9375,0.1,1793.2
6,2,1,2000,0.9375,0.2,1625.6217
6,2,1,2000,0.9375,0.3,1486.6894
6,2,1,2000,0.9375,0.4,1369.3771
6,2,1,2000,0.9375,0.5,1268.8174
6,2,1,2000,0.9375,0.6,1181.5226
6,2,1,2000,0.9375,0.7,1104.9228
6,2,1,2000,0.9375,0.8,1037.0801
6,2,1,2000,0.9375,0.9,976.5033
6,2,1,2000,0.9375,1.0,922.0254
6,2,1,2000,0.9375,1.1,872.7188
6,2,1,2000,0.9375,1.2,827.8369
6,2,1,2000,0.9375,1.3,786.7712
6,2,1,2000,0.9375,1.4,749.0208
6,2,1,2000,0.9375,1.5,714.1692
6,2,1,2000,0.9375,1.6,681.8673
6,2,1,2000,0.9375,1.7,651.8201
6,2,1,2000,0.9375,1.8,623.7767
6,2,1,2000,0.9375,1.9,597.5218
6,2,1,2000,0.9375,2.0,572.8702
6,2,1,2000,0.9375,2.1,549.6612
6,2,1,2000,0.9375,2.2,527.7548
6,2,1,2000,0.9375,2.3,507.0285
6,2,1,2000,0.9375,2.4,487.3746
6,2,1,2000,0.9375,2.5,468.6979
6,2,1,2000,0.9375,2.6,450.9141
6,2,1,2000,0.9375,2.7,433.9479
6,2,1,2000,0.9375,2.8,417.7323
6,2,1,2000,0.9375,2.9,402.2073
6,2,1,2000,0.9375,3.0,387.3188
6,2,1,2000,0.9375,3.1,373.018
6,2,1,2000,0.9375,3.2,359.2609
6,2,1,2000,0.9375,3.3,346.0075
6,2,1,2000,0.9375,3.4,333.2214
6,2,1,2000,0.9375,3.5,320.8696
6,2,1,2000,0.9375,3.6,308.9217
6,2,1,2000,0.9375,3.7,297.3501
6,2,1,2000,0.9375,3.8,286.1292
6,2,1,2000,0.9375,3.9,275.2357
6,2,1,2000,0.9375,4.0,264.648
6,2,1,2000,0.9375,4.1,254.3461
6,2,1,2000,0.9375,4.2,244.3115
6,2,1,2000,0.9375,4.3,234.5271
6,2,1,2000,0.9375,4.4,224.9769
6,2,1,2000,0.9375,4.5,215.6462
6,2,1,2000,0.9375,4.6,206.521
6,2,1,2000,0.9375,4.7,197.5885
6,2,1,2000,0.9375,4.8,188.8364
6,2,1,2000,0.9375,4.9,180.2535
6,2,1,2000,0.9375,5.0,171.8289
6,2,1,2000,0.9375,5.1,163.5526
6,2,1,2000,0.9375,5.2,155.4152
6,2,1,2000,0.9375,5.3,147.4075
6,2,1,2000,0.9375,5.4,139.521
6,2,1,2000,0.9375,5.5,131.7477
6,2,1,2000,0.9375,5.6,124.0798
6,2,1,2000,0.9375,5.7,116.5101
6,2,1,2000,0.9375,5.8,109.0313
6,2,1,2000,0.9375,5.9,101.6369
6,2,1,2000,0.9375,6.0,94.3204
6,2,1,2000,0.9375,6.1,87.0756
6,2,1,2000,0.9375,6.2,79.8965
6,2,1,2000,0.9375,6.3,72.7773
6,2,1,2000,0.9375,6.4,65.7125
6,2,1,2000,0.9375,6.5,58.6966
6,2,1,2000,0.9375,6.6,51.7243
6,2,1,2000,0.9375,6.7,44.7906
6,2,1,2000,0.9375,6.8,37.8903
6,2,1,2000,0.9375,6.9,31.0185
6,2,1,2000,0.9375,7.0,24.1704
6,2,1,2000,0.9375,7.1,17.3411
6,2,1,2000,0.9375,7.2,10.5261
6,2,1,2000,0.9375,7.3,3.7206
6,2,1,2000,0.9375,7.4,-3.0801
7,2,2,2000,0.8055,0,2000
7,2,2,2000,0.8055,0.1,1793.2
7,2,2,2000,0.8055,0.2,1625.6217
7,2,2,2000,0.8055,0.3,1486.6894
7,2,2,2000,0.8055,0.4,1369.3771
7,2,2,2000,0.8055,0.5,1268.8174
7,2,2,2000,0.8055,0.6,1181.5226
7,2,2,2000,0.8055,0.7,1104.9228
7,2,2,2000,0.8055,0.8,1037.0801
7,2,2,2000,0.8055,0.9,976.5033
7,2,2,2000,0.8055,1.0,922.0254
7,2,2,2000,0.8055,1.1,872.7188
7,2,2,2000,0.8055,1.2,827.8369
7,2,2,2000,0.8055,1.3,786.7712
7,2,2,2000,0.8055,1.4,749.0208
7,2,2,2000,0.8055,1.5,714.1692
7,2,2,2000,0.8055,1.6,681.8673
7,2,2,2000,0.8055,1.7,651.8201
7,2,2,2000,0.8055,1.8,623.7767
7,2,2,2000,0.8055,1.9,597.5218
7,2,2,2000,0.8055,2.0,572.8702
7,2,2,2000,0.8055,2.1,549.6612
7,2,2,2000,0.8055,2.2,527.7548
7,2,2,2000,0.8055,2.3,507.0285
7,2,2,2000,0.8055,2.4,487.3746
7,2,2,2000,0.8055,2.5,468.6979
7,2,2,2000,0.8055,2.6,450.9141
7,2,2,2000,0.8055,2.7,433.9479
7,2,2,2000,0.8055,2.8,417.7323
7,2,2,2000,0.8055,2.9,402.2073
